content_id,source,title,released_year,release_era,genre_list,genre_vector,runtime_minutes,imdb_rating_raw,imdb_rating_normalized,meta_score,critical_consensus,no_of_votes,mainstream_appeal,gross_usd,position_in_belief_space,emotional_valence,engagement_potential,quality_signal,novelty,birth_timestep
imdb_00000,real,The Shawshank Redemption,1994,1990,"[""Drama""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",142.0,9.3,0.9222222222222223,80.0,0.8,2343110,1.0,28341469.0,4.096098040292983,0.47437736638035455,0.8932616822456135,0.8611111111111112,1.0,0
imdb_00001,real,The Godfather,1972,1970,"[""Crime"", ""Drama""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",175.0,9.2,0.911111111111111,100.0,1.0,1620367,0.9187035315683661,134966411.0,3.6682445777591273,0.4668012715007604,0.8572844760749049,0.9555555555555555,1.0,0
imdb_00002,real,The Dark Knight,2008,2000,"[""Action"", ""Crime"", ""Drama""]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",152.0,9.0,0.8888888888888888,84.0,0.84,2303232,0.9962163363230805,534858444.0,5.868019646900214,0.6267027623311833,0.9603832580272315,0.8644444444444443,1.0,0
imdb_00003,real,The Godfather: Part II,1974,1970,"[""Crime"", ""Drama""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",202.0,9.0,0.8888888888888888,90.0,0.9,1129952,0.8392473459019688,57300000.0,5.503708830590011,0.6252451773112971,0.8523543763836289,0.8944444444444444,1.0,0
imdb_00004,real,12 Angry Men,1957,1950,"[""Crime"", ""Drama""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",96.0,9.0,0.8888888888888888,96.0,0.96,689845,0.7304785317289596,4360000.0,2.190416904779345,0.3939171849076931,0.6791307821809107,0.9244444444444444,1.0,0
imdb_00005,real,The Lord of the Rings: The Return of the King,2003,2000,"[""Action"", ""Adventure"", ""Drama""]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",201.0,8.9,0.8777777777777778,94.0,0.94,1642758,0.9217285371663033,377845905.0,7.245356509127477,0.39582563945101457,0.9431150708659031,0.9088888888888889,1.0,0
imdb_00006,real,Pulp Fiction,1994,1990,"[""Crime"", ""Drama""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",154.0,8.9,0.8777777777777778,94.0,0.94,1826188,0.9450608446217648,107928762.0,4.811610849298333,0.5602272322533829,0.9364350365781209,0.9088888888888889,1.0,0
imdb_00007,real,Schindler's List,1993,1990,"[""Biography"", ""Drama"", ""History""]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",195.0,8.9,0.8777777777777778,94.0,0.94,1213505,0.8549715497729494,96898818.0,2.778137809568559,0.3580339259458467,0.8269372280099555,0.9088888888888889,1.0,0
imdb_00008,real,Inception,2010,2010,"[""Action"", ""Adventure"", ""Sci-Fi""]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",148.0,8.8,0.8666666666666667,74.0,0.74,2067042,0.9723681221845428,292576195.0,7.377568228707748,0.5153225740663236,0.9867131243835688,0.8033333333333333,1.0,0
imdb_00009,real,Fight Club,1999,1990,"[""Drama""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",139.0,8.8,0.8666666666666667,66.0,0.66,1854740,0.9484803834527592,37030102.0,6.2513511431923074,0.3817564857941136,0.8921892137890753,0.7633333333333334,1.0,0
imdb_00010,real,The Lord of the Rings: The Fellowship of the Ring,2001,2000,"[""Action"", ""Adventure"", ""Drama""]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",178.0,8.8,0.8666666666666667,92.0,0.92,1661481,0.9242265129438924,315544750.0,2.4709160161041717,0.5703518379890263,0.8605171721318156,0.8933333333333333,1.0,0
imdb_00011,real,Forrest Gump,1994,1990,"[""Drama"", ""Romance""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",142.0,8.8,0.8666666666666667,82.0,0.82,1809221,0.9430033697049001,330252182.0,8.554365680515449,0.46222335483431587,1.0,0.8433333333333333,1.0,0
imdb_00012,real,"Il buono, il brutto, il cattivo",1966,1960,"[""Western""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",161.0,8.8,0.8666666666666667,90.0,0.9,688390,0.730013139525939,6100000.0,6.317594736732385,0.5052824558048973,0.6636272330832691,0.8833333333333333,1.0,0
imdb_00013,real,The Lord of the Rings: The Two Towers,2002,2000,"[""Action"", ""Adventure"", ""Drama""]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",179.0,8.7,0.8555555555555555,87.0,0.87,1485555,0.899556981284457,342551365.0,4.979607768749908,0.5901792965574426,0.8271376065234617,0.8627777777777778,1.0,0
imdb_00014,real,The Matrix,1999,1990,"[""Action"", ""Sci-Fi""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",136.0,8.7,0.8555555555555555,73.0,0.73,1676426,0.926200317658844,171479930.0,8.180437611243558,0.5874007473801637,0.8530981239325317,0.7927777777777778,1.0,0
imdb_00015,real,Goodfellas,1990,1990,"[""Biography"", ""Crime"", ""Drama""]","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",146.0,8.7,0.8555555555555555,90.0,0.9,1020727,0.8168395206155201,46836394.0,5.3185955676592815,0.41458993630267427,0.7501798991074954,0.8777777777777778,1.0,0
imdb_00016,real,Star Wars: Episode V - The Empire Strikes Back,1980,1980,"[""Action"", ""Adventure"", ""Fantasy""]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",124.0,8.7,0.8555555555555555,82.0,0.82,1159315,0.8449020159488403,290475067.0,4.943833849791936,0.5128333960599333,0.8748158987548964,0.8377777777777777,1.0,0
imdb_00017,real,One Flew Over the Cuckoo's Nest,1975,1970,"[""Drama""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",133.0,8.7,0.8555555555555555,83.0,0.83,918088,0.7934801225047006,112000000.0,3.679399767956022,0.3732893919336801,0.7993886006286064,0.8427777777777777,1.0,0
imdb_00018,real,Hamilton,2020,2020,"[""Biography"", ""Drama"", ""History""]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",160.0,8.6,0.8444444444444444,90.0,0.9,55291,0.17417514652518787,0.0,6.163700878614157,0.4536093574379151,0.20766348953308306,0.8722222222222222,1.0,0
imdb_00019,real,Gisaengchung,2019,2010,"[""Comedy"", ""Drama"", ""Thriller""]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",132.0,8.6,0.8444444444444444,96.0,0.96,552778,0.6816534035042175,53367844.0,5.9532059346479596,0.49600592712109975,0.7549785150373081,0.9022222222222223,1.0,0
imdb_00020,real,Soorarai Pottru,2020,2020,"[""Drama""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",153.0,8.6,0.8444444444444444,79.0,0.79,54995,0.17299198416291744,0.0,5.029360279779422,0.43521101091637915,0.24078895855738564,0.8172222222222223,1.0,0
imdb_00021,real,Interstellar,2014,2010,"[""Adventure"", ""Drama"", ""Sci-Fi""]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",169.0,8.6,0.8444444444444444,74.0,0.74,1512360,0.9034987181892922,188020017.0,3.420027292264794,0.4121923031143513,0.9102635226068495,0.7922222222222222,1.0,0
imdb_00022,real,Cidade de Deus,2002,2000,"[""Crime"", ""Drama""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",130.0,8.6,0.8444444444444444,79.0,0.79,699256,0.7334652057337187,7563397.0,5.259859708332148,0.6478033070939224,0.7176064219505378,0.8172222222222223,1.0,0
imdb_00023,real,Sen to Chihiro no kamikakushi,2001,2000,"[""Animation"", ""Adventure"", ""Family""]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",125.0,8.6,0.8444444444444444,96.0,0.96,651376,0.7178309092923552,10055859.0,4.860402428475724,0.32097097476782915,0.7269912825372189,0.9022222222222223,1.0,0
imdb_00024,real,Saving Private Ryan,1998,1990,"[""Drama"", ""War""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",169.0,8.6,0.8444444444444444,91.0,0.91,1235804,0.8589851425565272,216540909.0,2.333051362531598,0.5657337742269514,0.7665451827459218,0.8772222222222222,1.0,0
imdb_00025,real,The Green Mile,1999,1990,"[""Crime"", ""Drama"", ""Fantasy""]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",189.0,8.6,0.8444444444444444,61.0,0.61,1147794,0.8427005845832523,136801374.0,2.0563752973516287,0.47182931596094163,0.8303257650863852,0.7272222222222222,1.0,0
imdb_00026,real,La vita è bella,1997,1990,"[""Comedy"", ""Drama"", ""Romance""]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",116.0,8.6,0.8444444444444444,59.0,0.59,623629,0.7082357565592643,57598247.0,6.130306757619539,0.4092514015109346,0.6331954158693407,0.7172222222222222,1.0,0
imdb_00027,real,Se7en,1995,1990,"[""Crime"", ""Drama"", ""Mystery""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",127.0,8.6,0.8444444444444444,65.0,0.65,1445096,0.8934706135141515,100125643.0,0.0,0.5792355251491264,0.8715535741003017,0.7472222222222222,1.0,0
imdb_00028,real,The Silence of the Lambs,1991,1990,"[""Crime"", ""Drama"", ""Thriller""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",118.0,8.6,0.8444444444444444,85.0,0.85,1270197,0.8650357028867831,130742922.0,5.41082105392252,0.6496852755943457,0.8603732829705593,0.8472222222222222,1.0,0
imdb_00029,real,Star Wars,1977,1970,"[""Action"", ""Adventure"", ""Fantasy""]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",121.0,8.6,0.8444444444444444,90.0,0.9,1231473,0.8582113042566465,322740140.0,4.043833884492351,0.517799013573964,0.9355942102566582,0.8722222222222222,1.0,0
imdb_00030,real,Seppuku,1962,1960,"[""Action"", ""Drama"", ""Mystery""]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",133.0,8.6,0.8444444444444444,85.0,0.85,42004,0.11359516677355246,0.0,7.616493213759821,0.7046651414029702,0.2475388197001875,0.8472222222222222,1.0,0
imdb_00031,real,Shichinin no samurai,1954,1950,"[""Action"", ""Adventure"", ""Drama""]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",207.0,8.6,0.8444444444444444,98.0,0.98,315744,0.5582133792327671,269061.0,4.013063581692249,0.46748679868923076,0.5031304079487195,0.9122222222222223,1.0,0
imdb_00032,real,It's a Wonderful Life,1946,1940,"[""Drama"", ""Family"", ""Fantasy""]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",130.0,8.6,0.8444444444444444,89.0,0.89,405801,0.613523319379214,0.0,6.318968428503792,0.3256872483409437,0.4630959377576834,0.8672222222222222,1.0,0
imdb_00033,real,Joker,2019,2010,"[""Crime"", ""Drama"", ""Thriller""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",122.0,8.5,0.8333333333333334,59.0,0.59,939252,0.798503600727788,335451311.0,4.206172317524417,0.5515648484068365,0.8728970370147906,0.7116666666666667,1.0,0
imdb_00034,real,Whiplash,2014,2010,"[""Drama"", ""Music""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",106.0,8.5,0.8333333333333334,88.0,0.88,717585,0.7391684388582362,13092000.0,5.227496306972287,0.4242783538060397,0.6904186344285544,0.8566666666666667,1.0,0
imdb_00035,real,The Intouchables,2011,2010,"[""Biography"", ""Comedy"", ""Drama""]","[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",112.0,8.5,0.8333333333333334,57.0,0.57,760360,0.7519308378318887,13182281.0,6.473673061840103,0.45698445008433797,0.7246061995925034,0.7016666666666667,1.0,0
imdb_00036,real,The Prestige,2006,2000,"[""Drama"", ""Mystery"", ""Sci-Fi""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",130.0,8.5,0.8333333333333334,66.0,0.66,1190259,0.85070821498665,53089891.0,4.07488856735084,0.49088420338761,0.8745782039322877,0.7466666666666667,1.0,0
imdb_00037,real,The Departed,2006,2000,"[""Crime"", ""Drama"", ""Thriller""]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",151.0,8.5,0.8333333333333334,85.0,0.85,1189773,0.8506181962388945,132384315.0,6.993109768996808,0.5494541485096645,0.8244359886372398,0.8416666666666667,1.0,0
imdb_00038,real,The Pianist,2002,2000,"[""Biography"", ""Drama"", ""Music""]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",150.0,8.5,0.8333333333333334,85.0,0.85,729603,0.7428294115008777,32572577.0,3.012604245787034,0.3007081694113675,0.7863353631792119,0.8416666666666667,1.0,0
imdb_00039,real,Gladiator,2000,2000,"[""Action"", ""Adventure"", ""Drama""]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",155.0,8.5,0.8333333333333334,67.0,0.67,1341460,0.877067633060686,187705427.0,5.5891856851167585,0.5520474230259761,0.9124228672601391,0.7516666666666667,1.0,0
imdb_00040,real,American History X,1998,1990,"[""Drama""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",119.0,8.5,0.8333333333333334,62.0,0.62,1034705,0.8198374959000955,6719864.0,6.845279445575706,0.5094603336962754,0.6976906153243766,0.7266666666666667,1.0,0
imdb_00041,real,The Usual Suspects,1995,1990,"[""Crime"", ""Mystery"", ""Thriller""]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",106.0,8.5,0.8333333333333334,77.0,0.77,991208,0.8103710995551242,23341568.0,6.320074983580669,0.6934523414644156,0.8253851539600232,0.8016666666666667,1.0,0
imdb_00042,real,Léon,1994,1990,"[""Action"", ""Crime"", ""Drama""]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",110.0,8.5,0.8333333333333334,64.0,0.64,1035236,0.8199505837630715,19501238.0,8.83288975347082,0.5134258900835711,0.8120336245690625,0.7366666666666667,1.0,0
imdb_00043,real,The Lion King,1994,1990,"[""Animation"", ""Adventure"", ""Drama""]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88.0,8.5,0.8333333333333334,88.0,0.88,942045,0.7991580760615417,422783777.0,3.473121365378679,0.4185729058453376,0.8609923736196866,0.8566666666666667,1.0,0
imdb_00044,real,Terminator 2: Judgment Day,1991,1990,"[""Action"", ""Sci-Fi""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",137.0,8.5,0.8333333333333334,75.0,0.75,995506,0.8113247981712018,204843350.0,2.241701497302824,0.5593348647312583,0.803582958742693,0.7916666666666667,1.0,0
imdb_00045,real,Nuovo Cinema Paradiso,1988,1980,"[""Drama"", ""Romance""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",155.0,8.5,0.8333333333333334,80.0,0.8,230763,0.4891032100411809,11990401.0,3.011329783009761,0.41749508773832106,0.521207521117524,0.8166666666666667,1.0,0
imdb_00046,real,Hotaru no haka,1988,1980,"[""Animation"", ""Drama"", ""War""]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",89.0,8.5,0.8333333333333334,94.0,0.94,235231,0.493330131105319,0.0,6.3208851330968745,0.5697143022358552,0.3891149498180403,0.8866666666666667,1.0,0
imdb_00047,real,Back to the Future,1985,1980,"[""Adventure"", ""Comedy"", ""Sci-Fi""]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",116.0,8.5,0.8333333333333334,87.0,0.87,1058081,0.8247617774684018,210609762.0,5.9958458685387575,0.43455431056864124,0.8777146331810576,0.8516666666666667,1.0,0
imdb_00048,real,Once Upon a Time in the West,1968,1960,"[""Western""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",165.0,8.5,0.8333333333333334,80.0,0.8,302844,0.5490188470719966,5321508.0,5.204513319294832,0.5543130850457516,0.5282361752017448,0.8166666666666667,1.0,0
imdb_00049,real,Psycho,1960,1960,"[""Horror"", ""Mystery"", ""Thriller""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",109.0,8.5,0.8333333333333334,97.0,0.97,604211,0.7012634242898483,32000000.0,2.75408590178574,0.722072992225778,0.7424613164448369,0.9016666666666666,1.0,0
imdb_00050,real,Casablanca,1942,1940,"[""Drama"", ""Romance"", ""War""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",102.0,8.5,0.8333333333333334,100.0,1.0,522093,0.6690651103961026,1024560.0,6.533734586658122,0.5397962185618654,0.5370816644649739,0.9166666666666667,1.0,0
imdb_00051,real,Modern Times,1936,1930,"[""Comedy"", ""Drama"", ""Family""]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",87.0,8.5,0.8333333333333334,96.0,0.96,217881,0.4764418971770357,163245.0,2.550590444698919,0.38383639140041653,0.4189013503736059,0.8966666666666667,1.0,0
imdb_00052,real,City Lights,1931,1930,"[""Comedy"", ""Drama"", ""Romance""]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",87.0,8.5,0.8333333333333334,99.0,0.99,167839,0.418925105207808,19181.0,7.3178991647538,0.2500942010782134,0.33655210159951937,0.9116666666666666,1.0,0
imdb_00053,real,Capharnaüm,2018,2010,"[""Drama""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",126.0,8.4,0.8222222222222223,75.0,0.75,62635,0.20166408457164559,1661096.0,10.0,0.4244263026914159,0.455320720744305,0.7861111111111112,1.0,0
imdb_00054,real,Ayla: The Daughter of War,2017,2010,"[""Biography"", ""Drama"", ""History""]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",125.0,8.4,0.8222222222222223,79.0,0.79,34112,0.0677236555867409,0.0,5.732902293143101,0.34570352098990964,0.09176841057602617,0.8061111111111112,1.0,0
imdb_00055,real,Vikram Vedha,2017,2010,"[""Action"", ""Crime"", ""Drama""]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",147.0,8.4,0.8222222222222223,79.0,0.79,28401,0.027338634500405287,0.0,6.166216271315486,0.5155564388071993,0.21000390902474983,0.8061111111111112,1.0,0
imdb_00056,real,Kimi no na wa.,2016,2010,"[""Animation"", ""Drama"", ""Fantasy""]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",106.0,8.4,0.8222222222222223,79.0,0.79,194838,0.45180340208980474,5017246.0,4.014280462208881,0.3613219532351986,0.5234336416696609,0.8061111111111112,1.0,0
imdb_00057,real,Dangal,2016,2010,"[""Action"", ""Biography"", ""Drama""]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",161.0,8.4,0.8222222222222223,79.0,0.79,156479,0.4034774645045438,12391761.0,1.3795733578263674,0.5862619715654183,0.534327760195543,0.8061111111111112,1.0,0
imdb_00058,real,Spider-Man: Into the Spider-Verse,2018,2010,"[""Animation"", ""Action"", ""Adventure""]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",117.0,8.4,0.8222222222222223,87.0,0.87,375110,0.5961887924643293,190241310.0,3.7945612739395553,0.3807335107445405,0.7163410019545567,0.8461111111111111,1.0,0
imdb_00059,real,Avengers: Endgame,2019,2010,"[""Action"", ""Adventure"", ""Drama""]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",181.0,8.4,0.8222222222222223,78.0,0.78,809955,0.7658583926616707,858373000.0,2.8142095178025013,0.5774622683673185,0.8791619442110525,0.8011111111111111,1.0,0
imdb_00060,real,Avengers: Infinity War,2018,2010,"[""Action"", ""Adventure"", ""Sci-Fi""]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",149.0,8.4,0.8222222222222223,68.0,0.68,834477,0.7724327224873305,678815482.0,2.1059908471699686,0.3820370849374023,0.8462234747567621,0.7511111111111112,1.0,0
imdb_00061,real,Coco,2017,2010,"[""Animation"", ""Adventure"", ""Family""]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",105.0,8.4,0.8222222222222223,81.0,0.81,384171,0.6014498484652887,209726015.0,8.444719883991299,0.3065425309344713,0.7891755140941233,0.8161111111111112,1.0,0
imdb_00062,real,Django Unchained,2012,2010,"[""Drama"", ""Western""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",165.0,8.4,0.8222222222222223,81.0,0.81,1357682,0.8797171300136488,162805434.0,5.545725036051546,0.4880202452084004,0.8530968267902772,0.8161111111111112,1.0,0
imdb_00063,real,The Dark Knight Rises,2012,2010,"[""Action"", ""Adventure""]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",164.0,8.4,0.8222222222222223,78.0,0.78,1516346,0.9040788945019613,448139099.0,5.759375161227967,0.5718977865087422,0.9771881731152855,0.8011111111111111,1.0,0
imdb_00064,real,3 Idiots,2009,2000,"[""Comedy"", ""Drama""]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",170.0,8.4,0.8222222222222223,67.0,0.67,344445,0.5773903986392678,6532908.0,4.381955269607501,0.4318981263834284,0.566906522600486,0.7461111111111112,1.0,0
imdb_00065,real,Taare Zameen Par,2007,2000,"[""Drama"", ""Family""]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",165.0,8.4,0.8222222222222223,79.0,0.79,168895,0.42030757498665633,1223869.0,4.654257835113127,0.413467778815994,0.45217570283505204,0.8061111111111112,1.0,0
imdb_00066,real,WALL·E,2008,2000,"[""Animation"", ""Adventure"", ""Family""]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,8.4,0.8222222222222223,95.0,0.95,999790,0.8122713016519002,223808164.0,6.929101364478667,0.3054353275534583,0.791295710758823,0.8861111111111111,1.0,0
imdb_00067,real,The Lives of Others,2006,2000,"[""Drama"", ""Mystery"", ""Thriller""]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",137.0,8.4,0.8222222222222223,89.0,0.89,358685,0.5863195948307214,11286112.0,4.935325762609569,0.546345189920168,0.6434530078838462,0.8561111111111112,1.0,0
